"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","3.82",""
"Afghanistan","2011","3.77",""
"Afghanistan","2010","3.71",""
"Afghanistan","2009","3.65",""
"Afghanistan","2008","3.58",""
"Afghanistan","2007","3.51",""
"Afghanistan","2006","3.45",""
"Afghanistan","2005","3.4",""
"Afghanistan","2004","3.37",""
"Afghanistan","2003","3.35",""
"Afghanistan","2002","3.35",""
"Afghanistan","2001","3.35",""
"Afghanistan","2000","3.36",""
"Afghanistan","1999","3.38",""
"Afghanistan","1998","3.4",""
"Afghanistan","1997","3.43",""
"Afghanistan","1996","3.43",""
"Afghanistan","1995","3.42",""
"Afghanistan","1994","3.39",""
"Afghanistan","1993","3.32",""
"Afghanistan","1992","3.23",""
"Afghanistan","1991","3.13",""
"Afghanistan","1990","3.07",""
"Albania","2012","14.93",""
"Albania","2011","14.56",""
"Albania","2010","14.19",""
"Albania","2009","13.83",""
"Albania","2008","13.47",""
"Albania","2007","13.12",""
"Albania","2006","12.75",""
"Albania","2005","12.36",""
"Albania","2004","11.94",""
"Albania","2003","11.5",""
"Albania","2002","11.06",""
"Albania","2001","10.63",""
"Albania","2000","10.22",""
"Albania","1999","9.86",""
"Albania","1998","9.52",""
"Albania","1997","9.2",""
"Albania","1996","8.91",""
"Albania","1995","8.62",""
"Albania","1994","8.36",""
"Albania","1993","8.11",""
"Albania","1992","7.89",""
"Albania","1991","7.7",""
"Albania","1990","7.55",""
"Algeria","2012","7.17",""
"Algeria","2011","6.96",""
"Algeria","2010","6.79",""
"Algeria","2009","6.66",""
"Algeria","2008","6.58",""
"Algeria","2007","6.52",""
"Algeria","2006","6.47",""
"Algeria","2005","6.41",""
"Algeria","2004","6.33",""
"Algeria","2003","6.24",""
"Algeria","2002","6.14",""
"Algeria","2001","6.03",""
"Algeria","2000","5.92",""
"Algeria","1999","5.81",""
"Algeria","1998","5.7",""
"Algeria","1997","5.58",""
"Algeria","1996","5.47",""
"Algeria","1995","5.36",""
"Algeria","1994","5.26",""
"Algeria","1993","5.16",""
"Algeria","1992","5.07",""
"Algeria","1991","5",""
"Algeria","1990","4.94",""
"Andorra","2012","22.86",""
"Andorra","2011","22.64",""
"Andorra","2010","22.43",""
"Andorra","2009","22.23",""
"Andorra","2008","22.03",""
"Andorra","2007","21.84",""
"Andorra","2006","21.7",""
